0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
385,138,180,179,139,88,99,17,140,141,72,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,180,179,139,88,99,17,140,141,72,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,180,179,139,88,99,17,140,141,72,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,386,812,813,814,815,63,816,3,2,387,22,73,12,388,12,389,12,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,114,9,230,4,818,3,153,11,10,158,21,117,4,199,390,6,819,18,820,6,14,208,3,391,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,2,137,3,234,822,392,3,10,93,823,12,393,21,233,178,824,3,14,825,222,13,2,97,43,9,13,176,29,2,394,3,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,84,57,2,56,9,94,2,4,133,181,4,2,2,396,7,10,110,107,4,83,71,202,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,397,826,827,2,828,829,90,10,64,830,831,832,833,2,215,2,834,11,10,835,29,11,10,836,3,837,11,838,3,839,840,16,22,11,14,158,11,303,3,841,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,84,57,2,56,9,94,2,4,133,181,4,2,2,396,7,10,110,107,4,83,71,202,125,842,74,75,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,844,4,7,386,85,2,845,398,22,13,2,42,44,10,846,847,848,112,13,2,348,9,849,28,850,46,7,2,371,53,235,9,21,224,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
